unit,chesbro,kelley,murkowski,tshibaka,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
88,2,4,3,1,2431,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
89,3,1,2,4,3124,0,64,Male,White,Independent,Professional school degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
90,2,3,4,1,2341,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
91,2,3,4,1,2341,0,78,Male,White,Republican,Professional school degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
92,2,3,1,4,2314,0,65,Female,American Indian and Alaska Native,Other Party,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
93,1,4,2,3,1423,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
94,1,2,4,3,1243,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
95,4,1,3,2,4132,0,28,Female,White,Independent,Bachelor's degree,I already voted using in-person Early Voting,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
96,4,2,3,1,4231,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
97,3,2,1,4,3214,0,34,Male,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
98,2,1,4,3,2143,0,39,Male,White,Republican,High school diploma or equivalent,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
99,3,4,2,1,3421,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
100,3,2,4,1,3241,0,63,Female,White,Republican,Some college but no degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
101,2,3,1,4,2314,0,69,Male,White,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
102,1,4,2,3,1423,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
103,1,4,2,3,1423,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
104,3,2,4,1,3241,0,76,Male,White,Republican,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
105,2,3,1,4,2314,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
106,1,2,4,3,1243,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
107,1,4,2,3,1423,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
108,2,4,3,1,2431,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
109,3,2,4,1,3241,0,73,Female,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
110,4,3,2,1,4321,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
111,2,3,1,4,2314,0,38,Male,Other,Independent,Professional school degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
112,3,2,1,4,3214,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
113,2,4,3,1,2431,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
114,4,3,1,2,4312,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
115,2,4,1,3,2413,0,31,Female,Asian and Pacific Islanders,Republican,Bachelor's degree,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
116,1,4,2,3,1423,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
117,2,3,4,1,2341,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
118,2,3,1,4,2314,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
119,2,4,1,3,2413,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
120,4,1,2,3,4123,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
121,2,3,1,4,2314,0,22,Male,Other,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
122,1,2,3,4,1234,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
123,2,1,4,3,2143,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
124,4,2,3,1,4231,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
125,1,3,2,4,1324,0,39,Female,White,Democrat,Bachelor's degree,Likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
126,3,2,4,1,3241,0,81,Male,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
127,1,4,2,3,1423,0,35,Female,White,Democrat,Some college but no degree,Unlikely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
128,1,3,2,4,1324,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
129,1,4,3,2,1432,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
130,3,4,2,1,3421,0,68,Female,White,Independent,Associate degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
131,2,1,3,4,2134,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
132,3,1,4,2,3142,0,23,Male,White,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
133,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
134,1,2,4,3,1243,0,65,Male,White,Independent,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
135,1,4,3,2,1432,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
136,4,2,3,1,4231,0,48,Female,Other,Republican,Professional school degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
137,1,3,2,4,1324,0,40,Male,American Indian and Alaska Native,Democrat,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
138,1,3,4,2,1342,0,32,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
139,4,2,1,3,4213,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
140,4,3,2,1,4321,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
141,1,3,2,4,1324,0,57,Female,White,Democrat,High school diploma or equivalent,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
142,4,3,2,1,4321,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
143,3,1,2,4,3124,0,23,Male,White,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
144,3,2,4,1,3241,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
145,1,4,2,3,1423,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
146,2,3,1,4,2314,0,40,Male,White,Republican,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
147,1,3,2,4,1324,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
148,2,1,4,3,2143,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
149,4,3,1,2,4312,0,44,Female,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
150,2,4,1,3,2413,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
151,1,2,3,4,1234,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
152,2,4,1,3,2413,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
153,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
154,4,2,3,1,4231,0,71,Female,White,Republican,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
155,4,3,2,1,4321,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
156,3,1,2,4,3124,0,40,Male,White,Democrat,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
157,2,4,1,3,2413,0,56,Female,White,Democrat,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
158,2,3,1,4,2314,0,39,Female,White,Democrat,High school diploma or equivalent,Very unlikely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
159,4,1,3,2,4132,0,23,Female,Asian and Pacific Islanders,Democrat,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
160,4,2,1,3,4213,0,24,Female,White,Democrat,High school diploma or equivalent,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
161,3,2,4,1,3241,0,30,Female,White,Independent,Professional school degree,Unlikely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
162,3,2,1,4,3214,0,63,Female,White,Independent,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
163,2,3,1,4,2314,0,64,Female,White,Other Party,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
164,2,4,1,3,2413,0,31,Female,White,Independent,Less than high school diploma,Other,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
165,1,3,2,4,1324,0,76,Female,White,Democrat,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
166,4,1,3,2,4132,0,37,Female,White,Independent,Associate degree,Likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
167,4,1,2,3,4123,0,50,Female,Black or African American,Republican,Bachelor's degree,Unlikely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
168,4,1,2,3,4123,0,87,Female,White,Republican,High school diploma or equivalent,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
169,4,2,3,1,4231,0,39,Female,White,Independent,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
170,3,2,4,1,3241,0,75,Female,White,Republican,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
171,4,1,2,3,4123,0,29,Female,White,Republican,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
172,4,1,2,3,4123,0,31,Female,White,Democrat,High school diploma or equivalent,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
173,2,3,1,4,2314,0,66,Female,White,Independent,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
174,1,4,2,3,1423,0,39,Male,White,Republican,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
175,3,2,1,4,3214,0,18,Female,White,Independent,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
176,1,2,4,3,1243,0,27,Male,White,Independent,Some college but no degree,Likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
177,2,1,3,4,2134,0,29,Female,White,Republican,Less than high school diploma,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
