unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1,1,NA,2,NA,NA,NA,1-2---,4,22,2
2,1,NA,2,NA,NA,NA,1-2---,4,25,2
3,1,NA,NA,NA,NA,NA,1-----,6,47,1
4,1,NA,2,NA,NA,NA,1-2---,3,30,2
5,1,NA,2,NA,NA,NA,1-2---,0,30,2
6,1,NA,NA,NA,NA,NA,1-----,7,29,6
7,1,NA,NA,NA,NA,NA,1-----,1,35,4
8,1,NA,NA,NA,NA,NA,1-----,5,25,4
9,1,NA,NA,NA,NA,NA,1-----,4,24,3
10,1,NA,2,NA,NA,NA,1-2---,0,35,2
11,1,NA,NA,NA,NA,NA,1-----,2,36,5
12,NA,1,NA,NA,NA,2,-1---2,3,31,3
13,1,NA,2,NA,NA,NA,1-2---,0,32,4
14,1,NA,NA,NA,NA,NA,1-----,2,31,3
15,1,NA,2,NA,NA,NA,1-2---,4,45,2
16,1,NA,2,NA,NA,NA,1-2---,5,32,2
17,1,NA,2,NA,NA,NA,1-2---,3,25,2
18,1,NA,2,NA,NA,NA,1-2---,7,30,1
19,1,NA,2,NA,NA,NA,1-2---,7,27,6
20,1,NA,2,NA,NA,NA,1-2---,6,24,2
21,1,NA,2,NA,NA,NA,1-2---,1,27,2
22,1,NA,NA,NA,NA,NA,1-----,5,27,2
23,1,NA,NA,NA,NA,NA,1-----,7,36,2
24,NA,NA,NA,NA,1,NA,----1-,4,27,6
25,1,NA,2,NA,NA,NA,1-2---,6,27,2
26,1,NA,2,NA,NA,NA,1-2---,1,27,2
27,NA,NA,NA,NA,NA,NA,------,6,26,6
28,1,NA,NA,NA,NA,NA,1-----,6,33,2
29,1,NA,2,NA,NA,NA,1-2---,7,24,2
30,1,NA,NA,NA,NA,NA,1-----,1,31,2
31,1,NA,2,NA,NA,NA,1-2---,3,24,6
32,1,NA,2,NA,NA,NA,1-2---,7,47,2
33,1,NA,2,NA,NA,NA,1-2---,5,45,2
34,1,NA,NA,NA,NA,NA,1-----,0,35,2
35,1,NA,2,NA,NA,NA,1-2---,1,60,3
36,1,NA,2,NA,NA,NA,1-2---,6,26,3
37,1,NA,2,NA,NA,NA,1-2---,2,30,2
38,1,NA,NA,NA,NA,NA,1-----,6,20,3
39,1,NA,NA,NA,NA,NA,1-----,3,30,3
40,1,NA,NA,NA,NA,NA,1-----,2,60,4
41,NA,NA,NA,NA,NA,NA,------,1,54,2
42,1,NA,NA,NA,NA,NA,1-----,6,54,4
43,1,NA,NA,NA,NA,NA,1-----,6,63,6
44,1,NA,2,NA,NA,NA,1-2---,3,40,6
45,1,NA,NA,NA,NA,NA,1-----,2,27,2
46,1,NA,2,NA,NA,NA,1-2---,7,40,6
47,1,NA,2,NA,NA,NA,1-2---,1,33,2
48,1,NA,NA,NA,NA,NA,1-----,2,47,2
49,1,NA,2,NA,NA,NA,1-2---,6,42,2
50,1,NA,NA,NA,NA,NA,1-----,6,27,2
51,NA,1,NA,NA,NA,NA,-1----,1,29,2
52,1,NA,NA,NA,NA,NA,1-----,6,42,1
53,1,NA,2,NA,NA,NA,1-2---,4,44,2
54,1,NA,2,NA,NA,NA,1-2---,7,23,2
55,1,NA,2,NA,NA,NA,1-2---,2,25,2
56,1,NA,2,NA,NA,NA,1-2---,0,40,1
57,1,NA,2,NA,NA,NA,1-2---,2,25,2
58,NA,1,NA,NA,NA,NA,-1----,7,35,2
59,1,NA,2,NA,NA,NA,1-2---,0,28,5
60,NA,1,NA,NA,NA,NA,-1----,5,40,1
61,1,NA,NA,NA,NA,NA,1-----,3,35,3
62,1,NA,NA,NA,NA,NA,1-----,7,25,2
63,1,NA,2,NA,NA,NA,1-2---,5,39,2
64,1,NA,2,NA,NA,NA,1-2---,5,35,2
65,1,NA,NA,NA,NA,NA,1-----,7,40,2
66,1,NA,2,NA,NA,NA,1-2---,5,36,1
67,1,NA,NA,NA,NA,NA,1-----,1,37,1
68,1,NA,NA,NA,NA,NA,1-----,4,50,2
69,NA,NA,NA,NA,1,NA,----1-,1,32,1
70,1,NA,2,NA,NA,NA,1-2---,4,26,2
71,NA,NA,NA,NA,NA,NA,------,3,35,1
72,1,NA,2,NA,NA,NA,1-2---,7,43,2
73,1,NA,NA,NA,NA,NA,1-----,6,54,1
74,1,NA,NA,NA,NA,NA,1-----,6,63,2
75,1,NA,NA,NA,NA,NA,1-----,5,39,2
76,1,NA,2,NA,NA,NA,1-2---,6,28,2
77,1,NA,2,NA,NA,NA,1-2---,6,38,2
78,1,NA,NA,NA,NA,NA,1-----,6,36,2
79,1,NA,NA,NA,NA,NA,1-----,6,47,2
80,1,NA,NA,NA,NA,NA,1-----,1,25,5
81,1,NA,NA,NA,NA,NA,1-----,2,30,4
82,1,NA,NA,NA,NA,NA,1-----,6,24,6
83,1,NA,NA,NA,NA,NA,1-----,1,22,4
84,1,NA,2,NA,NA,NA,1-2---,2,35,2
85,1,NA,NA,NA,NA,NA,1-----,7,47,8
86,1,NA,2,NA,NA,NA,1-2---,6,35,6
87,1,NA,2,NA,NA,NA,1-2---,5,29,2
88,1,NA,2,NA,NA,NA,1-2---,3,25,1
89,NA,NA,NA,NA,NA,NA,------,1,57,5
90,1,NA,NA,NA,NA,NA,1-----,6,55,2
91,1,NA,2,NA,NA,NA,1-2---,5,28,2
92,1,NA,2,NA,NA,NA,1-2---,0,45,2
93,1,NA,2,NA,NA,NA,1-2---,3,58,6
94,1,NA,NA,NA,NA,NA,1-----,7,60,2
95,1,NA,2,NA,NA,NA,1-2---,5,25,1
96,NA,1,NA,NA,3,2,-1--32,1,27,3
97,NA,1,NA,NA,NA,2,-1---2,5,49,2
98,NA,1,NA,NA,3,2,-1--32,7,25,2
99,NA,1,NA,NA,NA,2,-1---2,0,21,5
100,NA,1,NA,NA,3,2,-1--32,7,28,2
101,NA,1,NA,NA,NA,2,-1---2,2,22,2
102,NA,1,NA,NA,2,NA,-1--2-,0,22,1
103,NA,1,NA,NA,NA,2,-1---2,5,40,2
104,NA,1,NA,NA,NA,2,-1---2,7,52,2
105,NA,1,NA,NA,NA,2,-1---2,3,33,1
106,1,NA,NA,NA,NA,NA,1-----,0,52,3
107,1,NA,NA,NA,NA,NA,1-----,5,20,4
108,1,NA,NA,NA,NA,NA,1-----,1,27,3
109,NA,NA,NA,NA,NA,NA,------,3,42,3
110,1,NA,NA,NA,NA,NA,1-----,7,36,2
111,1,NA,NA,NA,NA,NA,1-----,6,42,4
112,NA,1,NA,NA,3,2,-1--32,5,29,3
113,NA,1,NA,NA,2,3,-1--23,5,32,4
114,1,NA,2,NA,NA,NA,1-2---,6,40,3
115,NA,1,NA,NA,NA,2,-1---2,1,64,1
116,NA,1,NA,NA,NA,2,-1---2,1,31,4
117,NA,1,NA,NA,NA,NA,-1----,7,28,1
118,NA,1,NA,NA,NA,NA,-1----,0,25,4
119,NA,1,NA,NA,NA,NA,-1----,7,30,3
120,NA,1,NA,NA,3,2,-1--32,5,55,3
121,NA,1,NA,NA,NA,NA,-1----,1,40,3
122,NA,1,NA,NA,NA,2,-1---2,4,51,1
123,NA,1,NA,NA,NA,2,-1---2,0,34,1
124,NA,NA,NA,NA,NA,NA,------,7,45,1
125,1,NA,2,3,NA,NA,1-23--,5,32,1
126,NA,NA,NA,NA,NA,NA,------,1,40,3
127,NA,2,NA,NA,1,3,-2--13,3,37,2
128,NA,1,NA,NA,3,2,-1--32,6,22,3
129,NA,1,NA,NA,NA,2,-1---2,6,27,2
130,1,NA,2,3,NA,NA,1-23--,6,31,2
131,1,NA,2,NA,NA,NA,1-2---,5,31,2
132,NA,1,NA,NA,3,2,-1--32,7,30,4
133,1,NA,2,NA,NA,NA,1-2---,3,27,2
134,1,NA,2,3,NA,NA,1-23--,5,57,3
135,NA,1,NA,NA,3,2,-1--32,1,29,3
136,NA,1,NA,NA,NA,NA,-1----,2,45,2
137,NA,1,NA,NA,NA,NA,-1----,6,35,1
138,1,NA,NA,NA,NA,NA,1-----,4,29,3
139,NA,1,NA,NA,NA,2,-1---2,4,32,2
140,NA,1,NA,NA,NA,2,-1---2,3,20,2
141,NA,1,NA,NA,NA,2,-1---2,3,27,2
142,1,NA,2,NA,NA,NA,1-2---,6,40,3
143,1,NA,NA,NA,NA,NA,1-----,1,22,4
144,1,NA,NA,NA,NA,NA,1-----,1,28,2
145,NA,1,NA,NA,NA,2,-1---2,5,28,5
146,NA,NA,NA,NA,NA,NA,------,5,25,2
147,NA,NA,NA,NA,NA,NA,------,5,56,2
148,1,NA,2,3,NA,NA,1-23--,2,41,5
149,NA,NA,NA,NA,NA,NA,------,1,38,2
150,NA,1,NA,NA,NA,NA,-1----,7,25,2
151,1,NA,2,NA,NA,NA,1-2---,7,28,2
152,NA,1,NA,NA,NA,2,-1---2,2,47,4
153,NA,1,NA,NA,3,2,-1--32,4,35,3
154,NA,2,NA,NA,1,NA,-2--1-,1,35,3
155,1,NA,2,3,NA,NA,1-23--,6,27,2
156,1,NA,2,3,NA,NA,1-23--,4,33,3
157,1,NA,2,3,NA,NA,1-23--,7,22,3
158,NA,2,NA,NA,1,NA,-2--1-,4,24,5
159,NA,2,NA,NA,1,3,-2--13,7,25,2
160,NA,2,NA,NA,1,3,-2--13,7,22,2
161,1,NA,2,NA,NA,NA,1-2---,7,26,3
162,1,NA,2,NA,NA,NA,1-2---,6,38,2
163,NA,NA,NA,NA,NA,NA,------,6,23,3
164,NA,2,NA,NA,1,NA,-2--1-,3,55,2
165,1,NA,2,NA,NA,NA,1-2---,5,28,3
166,NA,NA,NA,NA,NA,NA,------,6,29,2
167,NA,NA,1,NA,NA,NA,--1---,7,24,2
168,NA,NA,NA,NA,NA,NA,------,7,28,3
169,NA,2,NA,NA,1,3,-2--13,5,22,3
170,NA,2,NA,NA,1,3,-2--13,7,26,3
171,1,NA,NA,NA,NA,NA,1-----,1,30,3
172,NA,1,NA,NA,NA,NA,-1----,4,50,2
173,NA,NA,NA,NA,1,NA,----1-,5,30,3
174,NA,NA,NA,NA,NA,NA,------,0,27,2
175,NA,1,NA,NA,NA,2,-1---2,6,40,2
176,1,NA,2,NA,NA,NA,1-2---,6,28,4
177,NA,2,NA,NA,1,3,-2--13,6,63,2
178,NA,NA,NA,NA,1,NA,----1-,4,21,2
179,NA,2,NA,NA,1,NA,-2--1-,4,22,5
180,NA,NA,NA,NA,1,NA,----1-,4,24,3
181,NA,2,NA,NA,1,NA,-2--1-,0,48,2
182,NA,1,NA,NA,NA,NA,-1----,1,29,6
183,NA,NA,NA,NA,1,NA,----1-,0,21,2
184,NA,1,NA,NA,NA,2,-1---2,5,52,2
185,NA,1,NA,NA,3,2,-1--32,2,25,2
186,NA,1,NA,NA,NA,NA,-1----,7,59,6
187,NA,1,NA,NA,3,2,-1--32,1,32,2
188,NA,1,NA,NA,NA,NA,-1----,1,27,2
189,1,NA,2,3,NA,NA,1-23--,5,47,2
190,NA,NA,NA,NA,1,NA,----1-,6,46,2
191,NA,1,NA,NA,3,2,-1--32,7,51,2
192,NA,1,NA,NA,3,2,-1--32,4,41,4
193,NA,1,NA,NA,3,2,-1--32,7,52,2
194,NA,1,NA,NA,3,2,-1--32,4,38,2
195,NA,1,NA,NA,3,2,-1--32,0,47,2
196,NA,1,NA,NA,3,2,-1--32,2,34,2
197,NA,1,NA,NA,3,2,-1--32,7,35,2
198,NA,1,NA,NA,3,2,-1--32,4,55,2
199,NA,1,NA,NA,3,2,-1--32,7,21,4
200,NA,1,NA,NA,3,2,-1--32,7,42,2
201,NA,1,NA,NA,3,2,-1--32,3,47,5
202,NA,1,NA,NA,2,3,-1--23,7,57,3
203,NA,1,NA,NA,2,NA,-1--2-,4,24,3
204,NA,1,NA,NA,NA,NA,-1----,4,35,2
205,NA,1,NA,NA,NA,NA,-1----,6,30,2
206,NA,1,NA,NA,3,2,-1--32,5,21,2
207,NA,1,NA,NA,3,2,-1--32,2,36,2
208,NA,1,NA,NA,3,2,-1--32,1,33,2
209,NA,1,NA,NA,3,2,-1--32,7,25,2
210,NA,1,NA,NA,3,2,-1--32,6,30,2
211,NA,1,NA,NA,3,2,-1--32,5,41,1
212,NA,1,NA,NA,3,2,-1--32,6,23,2
213,NA,1,NA,NA,3,2,-1--32,6,27,2
214,NA,2,NA,NA,1,3,-2--13,5,44,3
215,NA,1,NA,NA,2,3,-1--23,1,52,2
216,NA,2,NA,NA,1,3,-2--13,6,24,2
217,NA,1,NA,NA,3,2,-1--32,6,52,2
218,NA,1,NA,NA,3,2,-1--32,7,48,3
219,1,NA,2,NA,NA,NA,1-2---,6,37,2
220,NA,2,NA,NA,1,3,-2--13,6,43,2
221,NA,1,NA,NA,2,3,-1--23,4,47,3
222,NA,1,NA,NA,3,2,-1--32,0,35,2
223,NA,NA,NA,NA,NA,NA,------,3,39,2
224,NA,2,NA,NA,1,3,-2--13,3,46,3
225,NA,2,NA,NA,1,NA,-2--1-,7,30,2
226,NA,1,NA,NA,NA,NA,-1----,6,20,2
227,NA,2,NA,NA,1,3,-2--13,0,43,3
228,NA,2,NA,NA,1,NA,-2--1-,5,37,2
229,NA,1,NA,NA,3,2,-1--32,1,31,2
230,1,NA,2,3,NA,NA,1-23--,5,36,3
231,NA,1,NA,NA,3,2,-1--32,7,57,2
232,NA,1,NA,NA,3,2,-1--32,1,48,3
233,1,NA,2,NA,NA,NA,1-2---,0,41,2
234,NA,1,NA,NA,3,2,-1--32,6,42,2
235,NA,1,NA,NA,2,3,-1--23,3,58,1
236,NA,1,NA,NA,3,2,-1--32,4,61,2
237,NA,1,NA,NA,3,2,-1--32,6,27,3
238,NA,1,NA,NA,2,3,-1--23,1,24,2
239,NA,1,NA,NA,3,2,-1--32,1,35,2
240,NA,1,NA,NA,2,3,-1--23,1,55,2
241,NA,1,NA,NA,3,2,-1--32,0,49,3
242,NA,1,NA,NA,3,2,-1--32,1,23,2
243,NA,1,NA,NA,3,2,-1--32,4,32,3
244,NA,1,NA,NA,3,2,-1--32,7,41,4
245,NA,1,NA,NA,3,2,-1--32,1,45,3
246,NA,1,NA,NA,3,2,-1--32,5,32,4
247,1,NA,2,NA,NA,NA,1-2---,1,53,2
248,NA,1,NA,NA,3,2,-1--32,6,48,3
249,NA,1,NA,NA,3,2,-1--32,1,49,3
250,1,NA,2,NA,NA,NA,1-2---,6,54,2
251,NA,2,NA,NA,1,3,-2--13,2,35,3
252,NA,1,NA,NA,3,2,-1--32,7,37,4
253,NA,1,NA,NA,3,2,-1--32,3,43,2
254,NA,1,NA,NA,3,2,-1--32,7,36,2
255,NA,1,NA,NA,3,2,-1--32,7,42,3
256,NA,1,NA,NA,3,2,-1--32,2,43,3
257,NA,1,NA,NA,3,2,-1--32,5,43,2
258,NA,1,NA,NA,3,2,-1--32,4,50,2
259,NA,1,NA,NA,3,2,-1--32,4,40,1
260,NA,1,NA,NA,3,2,-1--32,2,48,2
261,NA,1,NA,NA,3,2,-1--32,1,55,2
262,NA,1,NA,NA,3,2,-1--32,4,50,2
263,NA,1,NA,NA,2,3,-1--23,6,38,1
264,NA,1,NA,NA,3,2,-1--32,5,63,2
265,NA,1,NA,NA,3,2,-1--32,5,37,3
266,NA,1,NA,NA,2,3,-1--23,6,56,2
267,NA,1,NA,NA,3,2,-1--32,2,27,2
268,NA,1,NA,NA,2,3,-1--23,4,36,3
269,NA,1,NA,NA,3,2,-1--32,6,53,3
270,1,NA,2,NA,NA,NA,1-2---,4,35,2
271,NA,1,NA,NA,3,2,-1--32,7,41,5
272,NA,1,NA,NA,NA,NA,-1----,1,45,3
273,NA,1,NA,NA,NA,2,-1---2,5,36,6
274,NA,1,NA,NA,NA,2,-1---2,4,39,8
275,NA,1,NA,NA,NA,2,-1---2,7,31,2
276,NA,1,NA,NA,NA,2,-1---2,5,41,8
277,NA,1,NA,NA,NA,NA,-1----,6,38,5
278,NA,1,NA,NA,NA,NA,-1----,4,29,8
279,NA,1,NA,NA,2,3,-1--23,1,25,8
280,1,NA,2,3,NA,NA,1-23--,4,35,2
281,NA,1,NA,NA,3,2,-1--32,4,31,5
282,NA,NA,NA,NA,NA,NA,------,2,21,3
283,NA,1,NA,NA,NA,2,-1---2,5,32,3
284,NA,NA,NA,NA,NA,NA,------,1,62,3
285,NA,1,NA,NA,NA,2,-1---2,4,26,8
286,NA,1,NA,NA,NA,2,-1---2,1,34,8
287,NA,1,NA,NA,NA,2,-1---2,5,40,2
288,NA,NA,NA,NA,NA,NA,------,6,32,3
289,NA,1,NA,NA,2,NA,-1--2-,2,30,2
290,NA,2,NA,NA,1,3,-2--13,4,52,2
291,NA,2,NA,NA,1,NA,-2--1-,7,22,3
292,NA,1,NA,NA,NA,2,-1---2,2,27,4
293,1,NA,2,NA,NA,NA,1-2---,1,23,3
294,NA,1,NA,NA,2,NA,-1--2-,2,20,3
295,NA,2,NA,NA,1,NA,-2--1-,3,30,2
296,NA,NA,NA,NA,1,NA,----1-,1,33,3
297,NA,2,NA,NA,1,NA,-2--1-,4,31,3
298,NA,1,NA,NA,NA,2,-1---2,3,58,2
299,NA,NA,NA,NA,NA,NA,------,6,40,3
300,NA,1,NA,NA,NA,NA,-1----,6,30,3
301,NA,NA,NA,NA,NA,NA,------,1,51,2
302,NA,1,NA,NA,NA,2,-1---2,7,30,3
303,NA,1,NA,NA,NA,NA,-1----,7,28,3
304,NA,2,NA,NA,1,3,-2--13,7,32,2
305,1,NA,2,NA,NA,NA,1-2---,7,57,2
306,1,NA,NA,NA,NA,NA,1-----,6,25,4
307,NA,1,NA,NA,NA,2,-1---2,5,28,4
308,1,NA,NA,NA,NA,NA,1-----,2,28,3
309,NA,1,NA,NA,NA,NA,-1----,5,27,5
310,NA,NA,NA,NA,NA,NA,------,3,29,2
311,NA,1,NA,NA,3,2,-1--32,0,46,3
312,NA,1,NA,NA,NA,2,-1---2,0,32,2
313,1,NA,NA,NA,NA,NA,1-----,6,45,2
314,1,NA,2,NA,NA,NA,1-2---,5,20,2
315,NA,2,NA,NA,1,NA,-2--1-,2,30,2
316,NA,NA,NA,NA,1,NA,----1-,6,25,2
317,1,NA,NA,NA,NA,NA,1-----,5,22,2
318,1,NA,NA,NA,NA,NA,1-----,3,34,2
319,1,NA,NA,NA,NA,NA,1-----,5,21,4
320,NA,NA,NA,NA,NA,NA,------,6,25,1
321,1,NA,2,3,NA,NA,1-23--,4,27,2
322,NA,2,NA,NA,1,NA,-2--1-,6,34,2
323,1,NA,2,NA,NA,NA,1-2---,5,41,1
324,NA,1,NA,NA,NA,NA,-1----,6,39,2
325,NA,1,NA,NA,NA,2,-1---2,2,25,2
326,NA,1,NA,NA,NA,2,-1---2,5,33,3
327,1,NA,2,3,NA,NA,1-23--,1,35,2
328,NA,2,NA,NA,1,NA,-2--1-,2,29,4
329,1,NA,2,3,NA,NA,1-23--,3,32,4
330,1,NA,NA,NA,NA,NA,1-----,2,49,2
331,NA,NA,NA,NA,NA,NA,------,7,30,1
332,NA,1,NA,NA,NA,2,-1---2,5,32,4
333,NA,NA,NA,NA,NA,NA,------,1,32,4
334,NA,1,NA,NA,NA,NA,-1----,6,27,2
335,NA,1,NA,NA,NA,2,-1---2,6,52,2
336,NA,1,NA,NA,NA,NA,-1----,6,29,2
337,NA,NA,NA,NA,NA,NA,------,5,45,1
338,NA,1,NA,NA,NA,2,-1---2,2,65,1
339,1,NA,2,NA,NA,NA,1-2---,4,65,1
340,NA,1,NA,NA,NA,2,-1---2,7,21,1
341,1,NA,2,NA,NA,NA,1-2---,2,25,2
342,1,NA,NA,NA,NA,NA,1-----,0,27,3
343,NA,1,NA,NA,NA,NA,-1----,7,26,2
344,1,NA,2,3,NA,NA,1-23--,6,55,2
345,1,NA,2,NA,NA,NA,1-2---,7,28,2
346,1,NA,2,3,NA,NA,1-23--,6,35,2
347,1,NA,NA,NA,NA,NA,1-----,6,42,6
348,1,NA,2,3,NA,NA,1-23--,1,35,4
349,NA,NA,NA,NA,NA,NA,------,0,47,2
350,NA,NA,NA,NA,NA,NA,------,4,53,2
351,1,NA,NA,NA,NA,NA,1-----,7,38,6
352,1,NA,NA,NA,NA,NA,1-----,6,41,6
353,1,NA,2,3,NA,NA,1-23--,5,30,3
354,1,NA,2,3,NA,NA,1-23--,1,26,4
355,1,NA,2,3,NA,NA,1-23--,3,65,2
356,1,NA,2,3,NA,NA,1-23--,6,42,4
357,1,NA,2,3,NA,NA,1-23--,6,24,5
358,1,NA,NA,NA,NA,NA,1-----,3,56,2
359,1,NA,NA,NA,NA,NA,1-----,5,23,2
360,1,NA,2,3,NA,NA,1-23--,5,61,2
361,NA,NA,NA,NA,NA,NA,------,4,30,3
362,1,NA,2,3,NA,NA,1-23--,4,50,2
363,1,NA,2,3,NA,NA,1-23--,4,38,2
364,1,NA,NA,NA,NA,NA,1-----,0,23,3
365,1,NA,2,3,NA,NA,1-23--,6,30,4
366,1,NA,2,NA,NA,NA,1-2---,6,30,2
367,1,NA,2,3,NA,NA,1-23--,6,32,4
368,1,NA,NA,NA,NA,NA,1-----,1,65,2
369,NA,1,NA,NA,NA,NA,-1----,4,35,4
370,NA,2,NA,NA,1,NA,-2--1-,4,60,4
371,1,NA,2,NA,NA,NA,1-2---,6,35,2
372,1,NA,2,NA,NA,NA,1-2---,3,40,2
373,1,NA,2,NA,NA,NA,1-2---,5,42,2
374,1,NA,NA,NA,NA,NA,1-----,1,23,3
375,1,NA,NA,NA,NA,NA,1-----,6,40,3
376,1,NA,NA,NA,NA,NA,1-----,3,20,2
377,1,NA,NA,NA,NA,NA,1-----,0,32,2
378,1,NA,NA,NA,NA,NA,1-----,6,27,2
379,1,NA,NA,NA,NA,NA,1-----,7,48,2
380,1,NA,NA,NA,NA,NA,1-----,1,43,1
381,NA,NA,NA,NA,NA,NA,------,6,51,2
382,NA,NA,NA,NA,NA,NA,------,6,33,2
383,NA,NA,NA,NA,NA,NA,------,7,30,2
384,1,NA,NA,NA,NA,NA,1-----,4,30,4
385,1,NA,NA,NA,NA,NA,1-----,1,37,4
386,1,NA,NA,NA,NA,NA,1-----,5,42,2
387,1,NA,NA,NA,NA,NA,1-----,5,40,6
388,1,NA,NA,NA,NA,NA,1-----,5,35,2
389,1,NA,NA,NA,NA,NA,1-----,5,37,2
390,1,NA,NA,NA,NA,NA,1-----,6,29,2
391,1,NA,NA,NA,NA,NA,1-----,7,24,2
392,1,NA,NA,NA,NA,NA,1-----,2,35,2
393,1,NA,NA,NA,NA,NA,1-----,0,30,2
394,1,NA,NA,NA,NA,NA,1-----,4,42,2
395,1,NA,NA,NA,NA,NA,1-----,5,50,2
396,1,NA,NA,NA,NA,NA,1-----,1,46,2
397,1,NA,NA,NA,NA,NA,1-----,6,29,2
398,1,NA,NA,NA,NA,NA,1-----,1,33,2
399,1,NA,NA,NA,NA,NA,1-----,1,39,2
400,1,NA,NA,NA,NA,NA,1-----,1,30,3
401,1,NA,NA,NA,NA,NA,1-----,5,55,3
402,1,NA,NA,NA,NA,NA,1-----,5,28,6
403,1,NA,2,NA,NA,NA,1-2---,4,46,2
404,1,NA,NA,NA,NA,NA,1-----,1,43,2
